I1;G1;AR1;S1;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM1;TP1;TM3;FR3;SM1;T1;PM2;EDM1;ECM9;MOM13;PP2;EDP1;ECP10;MOP2;DF1;QDF0;IS1;PT1;CAT1;NM0
I2;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM2;TP11;TM3;FR5;SM1;T1;PM2;EDM3;ECM9;MOM8;PP2;EDP1;ECP9;MOP8;DF1;QDF0;IS2;PT4;CAT1;NM0
I1;G2;AR1;S2;PCD2;QPCD0;PE1;AU2;MO6;ED2;KM1;TP1;TM3;FR4;SM1;T1;PM2;EDM1;ECM7 ;MOM15;PP2;EDP1;ECP7 ;MOP2;DF1;QDF0;IS1;PT4;CAT2;NM2
I7;G2;AR5;S2;PCD2;QPCD0;PE2;AU0;MO1;ED2;KM1;TP7;TM1;FR1;SM1;T1;PM2;EDM1;ECM9;MOM14;PP2;EDP1;ECP11;MOP1;DF1;QDF0;IS1;PT4;CAT1;NM0
I1;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM3;TP11;TM2;FR5;SM1;T1;PM2;EDM1;ECM7 ;MOM2;PP2;EDP1;ECP7 ;MOP8;DF1;QDF0;IS1;PT4;CAT1;NM0
I1;G1;AR1;S1;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM4;TP7;TM1;FR1;SM1;T1;PM2;EDM1;ECM9;MOM2;PP2;EDP1;ECP8;MOP2;DF1;QDF0;IS1;PT1;CAT1;NM0
I1;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM2;TP4;TM3;FR3;SM1;T1;PM2;EDM1;ECM9;MOM5;PP2;EDP1;ECP7 ;MOP4;DF1;QDF0;IS2;PT4;CAT2;NM2
I1;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO6;ED2;KM3;TP11;TM4;FR4;SM1;T1;PM2;EDM7;ECM9;MOM6;PP2;EDP1;ECP9;MOP10;DF1;QDF0;IS2;PT4;CAT1;NM0
I1;G2;AR1;S5;PCD2;QPCD0;PE2;AU0;MO6;ED2;KM2;TP1;TM3;FR5;SM1;T1;PM2;EDM1;ECM8;MOM9;PP2;EDP1;ECP9;MOP10;DF1;QDF0;IS2;PT4;CAT1;NM0
I1;G2;AR1;S2;PCD2;QPCD0;PE2;AU0;MO15;ED1;KM2;TP1;TM3;FR7;SM1;T1;PM2;EDM3;ECM10;MOM2;PP2;EDP3;ECP6 ;MOP5;DF1;QDF0;IS2;PT2;CAT2;NM2
I1;G6;AR3;S4;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM1;TP2;TM2;FR3;SM1;T1;PM2;EDM10;ECM8;MOM15;PP2;EDP1;ECP10;MOP12;DF1;QDF0;IS2;PT4;CAT1;NM0
